source_file,original_column,original_value,LakeID
01_WorkingData/Infection Data/42_Lake_Copepod_Infection.csv,LAKE_CODE,LST,lowerstella
01_WorkingData/Infection Data/42_Lake_Copepod_Infection.csv,LAKE_CODE,MCN,mcn
01_WorkingData/Infection Data/42_Lake_Copepod_Infection.csv,LAKE_CODE,MCR,mccreight
01_WorkingData/Infection Data/42_Lake_Copepod_Infection.csv,LAKE_CODE,MER,merrill
01_WorkingData/Infection Data/42_Lake_Copepod_Infection.csv,LAKE_CODE,MOH,mohun
01_WorkingData/Infection Data/42_Lake_Copepod_Infection.csv,LAKE_CODE,MSK,msk
01_WorkingData/Infection Data/42_Lake_Copepod_Infection.csv,LAKE_CODE,MUD,mud
01_WorkingData/Infection Data/42_Lake_Copepod_Infection.csv,LAKE_CODE,NIM,nimpkish
01_WorkingData/Infection Data/42_Lake_Copepod_Infection.csv,LAKE_CODE,ORM,ormand
01_WorkingData/Infection Data/42_Lake_Copepod_Infection.csv,LAKE_CODE,PCH,pachena
01_WorkingData/Infection Data/42_Lake_Copepod_Infection.csv,LAKE_CODE,ROB,roberts
01_WorkingData/Infection Data/42_Lake_Copepod_Infection.csv,LAKE_CODE,ROS,roselle
01_WorkingData/Infection Data/42_Lake_Copepod_Infection.csv,LAKE_CODE,RSS,rosseau
01_WorkingData/Infection Data/42_Lake_Copepod_Infection.csv,LAKE_CODE,SRA,sarita
01_WorkingData/Infection Data/42_Lake_Copepod_Infection.csv,LAKE_CODE,STE,stella
01_WorkingData/Infection Data/42_Lake_Copepod_Infection.csv,LAKE_CODE,SUG,sugsaw
01_WorkingData/Infection Data/42_Lake_Copepod_Infection.csv,LAKE_CODE,THE,theimer
01_WorkingData/Infection Data/42_Lake_Copepod_Infection.csv,LAKE_CODE,TSI,tsiko
01_WorkingData/Infection Data/42_Lake_Copepod_Infection.csv,LAKE_CODE,VER,vernon
01_WorkingData/Infection Data/42_Lake_Copepod_Infection.csv,LAKE_CODE,WOS,woss
01_WorkingData/Sonde Data/VancouverSondeData2023_UTF8.csv,Site,amor1,amor
01_WorkingData/Sonde Data/VancouverSondeData2023_UTF8.csv,Site,amor3,amor
01_WorkingData/Sonde Data/VancouverSondeData2023_UTF8.csv,Site,anutz1,anutz
01_WorkingData/Sonde Data/VancouverSondeData2023_UTF8.csv,Site,anutz2,anutz
01_WorkingData/Sonde Data/VancouverSondeData2023_UTF8.csv,Site,beaver1,beaver
01_WorkingData/Sonde Data/VancouverSondeData2023_UTF8.csv,Site,beaver2,beaver
01_WorkingData/Sonde Data/VancouverSondeData2023_UTF8.csv,Site,black,black
01_WorkingData/Sonde Data/VancouverSondeData2023_UTF8.csv,Site,blackwater,blackwater
01_WorkingData/Sonde Data/VancouverSondeData2023_UTF8.csv,Site,blackwater2,blackwater
01_WorkingData/Sonde Data/VancouverSondeData2023_UTF8.csv,Site,boot1,boot
01_WorkingData/Sonde Data/VancouverSondeData2023_UTF8.csv,Site,boot2,boot
01_WorkingData/Sonde Data/VancouverSondeData2023_UTF8.csv,Site,brewster1,brewster
01_WorkingData/Sonde Data/VancouverSondeData2023_UTF8.csv,Site,brewster2,brewster
01_WorkingData/Sonde Data/VancouverSondeData2023_UTF8.csv,Site,brownbay1,brownbay
01_WorkingData/Sonde Data/VancouverSondeData2023_UTF8.csv,Site,brownbay2,brownbay
01_WorkingData/Sonde Data/VancouverSondeData2023_UTF8.csv,Site,cedar,cedar
01_WorkingData/Sonde Data/VancouverSondeData2023_UTF8.csv,Site,comida,comida
